#CHR	start	end	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
1	63176480	63177113	0.0248946623494641	-0.046378715513109	-0.0291437922397986	-0.056966734786952	-0.0618355622728935	-0.0475336962447388
1	172490322	172490824	-0.149136238235015	-0.03258522333779	-0.0745545864119445	-0.0248728515360042	-0.0200198719134654	-0.0391759807988497
1	9748193	9748790	0.0348669652608774	0.025852998260731	-0.0222033538253284	0.000956234869655762	-0.00438575808419002	0.00976420068575415
1	13647787	13648320	0.0429434897650739	-0.00388167411104651	0.017008127147615	0.0119109693939004	0.0648453916272075	0.0276167790616458
1	53296778	53297316	0.0837606436351804	0.0350876311265329	0.0428812085783178	-0.00838322189131192	0.0160550709992217	0.0153460606335091
1	53313367	53313883	0.000802741059852637	-0.00959119926612097	-0.0155354460173698	-0.000866528666535131	-0.017037954499392	0.00678436883134805
1	53952508	53953008	0.184159737921253	0.264700132782668	0.0291020312397705	0.232689338492879	0.343980334983336	0.246322778087831
1	55557711	55558355	0.0156595075403275	-0.0949554192024893	-0.0936718968170006	-0.0733371320950837	-0.0307328315863716	-0.0748975269820025
1	58392540	58393395	0.204097392732466	-0.0153768466768379	0.0900304703405991	-0.108265893073525	0.0176852298529989	-0.0705468484239152
1	58802145	58802841	-0.048610654911865	-0.133206918754204	-0.162827275317852	-0.120340924500605	-0.158454950681238	-0.156692368628591
1	74284503	74285142	0.0549674994144138	-0.00916110849336799	-0.0339517611457991	-0.0344132856623374	-0.0285595550310246	-0.025387091584592
1	75251619	75251863	0.0603663342969789	-0.0313349005529368	0.0493428813901436	-0.0684661950179543	0.00527445138520989	-0.0485375395446471
1	80756715	80757223	0.0968408781318781	-0.00820585135381302	0.00145931405229043	0.0340914427288581	-0.0606458714496265	0.00512205836756986
1	86228562	86229178	-0.0506104980105574	0.0354545501553328	-0.0266819679494448	0.0557109075608589	0.0279109038046272	0.0435614335053728
1	91913761	91914264	-0.128958746023721	-0.0202238489759341	-0.0288133054352407	-0.0288610391149757	0.00411949526983641	-0.0243868194292491
1	95223374	95223878	-0.0531484410202497	-0.0593926830494728	0.0711838471790464	0.199201992020993	0.113103513411469	0.175189368260312
1	120274928	120275428	-0.059632938829152	-0.0595016015412006	0.219188448779363	0.316653081292568	0.21474526831095	0.287306889934159
1	134791147	134791277	-0.0908736814182355	0.177403436506109	0.0349969467716177	0.396453967796382	0.135816711493244	0.296055035438234
1	153255917	153256047	0.279154461458892	0.0404432000722501	0.33335569224722	0.196825630484388	0.037750210099252	0.00758988092254214
1	153386664	153387167	-0.0595397428574471	0.00521012003316328	-0.12710045905898	-0.118213731284735	-0.118424439677174	-0.175458041464134
1	155140035	155140535	-0.0795964482294869	-0.0122816490264216	-0.0178554674028778	-0.0502543952646769	-0.075645361701271	-0.0673525812611212
1	160268273	160268795	-0.0782975169883683	-0.00519337875727847	0.0371695886242913	0.199836398903112	0.238331613802663	0.217892622490563
1	160743399	160743538	-0.0216178150517877	-0.077589566298185	-0.0584236990119285	0.00809594846926743	-0.171460321413805	-0.00694020267219325
1	161070427	161071154	0.0535315235082093	-0.0250520769741789	-0.0149307617486339	-0.0395428364891496	-0.0089025367579155	-0.0273391535222852
1	165658533	165659036	0.000208159462185414	0.1903217338089	-0.00574424895007285	0.0659684786202198	-0.000259400052160233	0.0317849753049713
1	170622826	170623326	-0.0272194479338802	0.136260769396204	0.0306554187191586	0.140040370480951	-0.0341669225935714	0.0901823946893075
1	171294424	171295081	0.124303586335267	-0.00344256727287597	-0.0700593248234095	-0.00991210236625489	-0.0116452333687189	-0.0240165970202875
1	175669123	175669259	-0.0740286280865989	0.143528366452551	-0.178842996292153	-0.00284341713552655	-0.0943099733890056	-0.0311317234535487
1	177110511	177111079	-0.248807965646161	-0.0262553092341461	0.0744442184671125	0.244604969302598	0.370596553340392	0.269465700982092
1	177258491	177258991	0.271868533882716	0.108212462072859	-0.0012298138001001	-0.0597075124901447	-0.072059866208186	-0.0446793835526934
1	189628366	189628866	-0.171286709367433	0.0653835430667324	-0.091235519058629	-0.0219622334575313	-0.0823742840229345	-0.0474492531024162
1	4768305	4768805	-0.382761444092588	-0.0764573081792734	-0.102203334785207	0.0295197088555068	-0.0525490015214145	0.0169017698087967
1	4769806	4770306	-0.299763896435521	-0.010728148576477	-0.0891104115333622	0.0308590980921758	-0.0935543435232427	-0.0200889472927832
1	4780215	4780345	-0.208432334068268	-0.180336288702533	-0.0141786216064851	0.514177352621584	0.0551383544920981	0.319958012890284
1	4785494	4786020	0.18258182594228	0.117480204349296	0.180956111235808	0.0257068228563372	0.0437466555626509	0.0513088958523244
1	4857386	4857985	0.0827912745953805	-0.00212976692101851	0.0160387783635268	-0.0564738249727618	-0.0462020458627457	-0.0439239915049466
1	5082831	5083352	0.0219982929631598	0.0217512020007213	0.119694910497313	0.0952572773792882	0.141868253873076	0.125834689655866
1	6453515	6454015	0.0461063300348135	-0.0727163559404001	0.331705760535192	0.418093523586015	0.250914606282569	0.377236534611283
1	6454150	6454280	0.106592410084799	0.317292560375835	0.547895682256861	0.652070085676855	0.50683356651648	0.615633690406742
1	6466963	6467463	-0.119503652243025	-0.0924346306855346	-0.108024457772986	0.00322117479636109	-0.0941720173015293	-0.0402529313479331
1	6657268	6657407	0.015719392668105	-0.252049480951424	-0.206823860444865	-0.225571083236788	-0.224014501294285	-0.253602060420151
1	6658020	6658330	0.0371520772636072	0.00439304386596647	0.253287295398445	0.170613714357654	0.189573244726706	0.217773507867411
1	6658522	6659030	0.0565166704440935	-0.0671341149692991	0.0395145817817423	0.102280357309117	0.145382627173615	0.0965081494757039
1	6760533	6761122	-0.0283607606982162	-0.0315780385983855	0.0178042461855702	0.0371611320596423	-0.0115681486843292	0.0287450304448298
1	6810310	6810810	-0.0386754997596737	0.0647726237144585	0.0697222810234308	0.166108417278103	0.162721456454234	0.157514218737587
1	6820055	6820185	0.0987589718718247	0.107827942554494	0.0996935537028151	0.0788480328473668	0.0374687653229412	0.058851485368329
1	6821354	6821938	0.126912029810648	0.293842814648111	0.0837675419739818	0.152725206857525	0.148515211956097	0.127246130429414
1	6858360	6858860	-0.0553346929456433	-0.154200957015752	0.0668191979240292	0.148344297854204	0.0264708710667948	0.106172250401511
1	6858952	6859457	-0.0382979151853916	-0.019194542972698	-0.0516159215478638	0.0577185873306399	-0.0476132977984636	0.0293112217918834
1	6866974	6867118	0.0645202702517729	0.403794495568005	0.164479529774013	0.114704253684418	0.173781211752739	0.162011694963464
1	7010297	7010428	0.187001525974133	1.13436213110813	0.0677515495867913	-0.0080234804168529	-0.0203049999534333	-0.042482578732096
1	7088591	7089203	0.167528678086303	0.0536811589108148	0.0533697919172285	-0.00531900337887497	0.0185821982126061	0.0189182661674147
1	7111626	7111719	-0.183327383004665	0.649158577762761	0.209281300402843	0.353244675287217	0.676771028591374	0.396144388053187
1	7141614	7141737	-0.290458660279505	0.759551093856906	0.240606631355918	0.548039419664493	0.396572645063966	0.563577718689566
1	7204695	7205202	-0.112557668226711	0.118548972599824	0.0131150777242647	0.28810535583676	0.214574827941454	0.281062855375571
1	7219030	7219167	-0.141647442268064	0.0958936012885975	0.0162515610683992	0.441804107109939	0.459775844525179	0.443192065176582
1	7396989	7397145	0.201311099287203	-0.0593815485168565	-0.00531133318770996	-0.211431467334043	-0.144186839350726	-0.18441725658807
1	7397684	7398462	0.163396518541341	-0.021398253019471	0.011229001329849	-0.0478703038047718	-0.0351674178985857	-0.0224975386589322
1	9545059	9545654	0.0640296886143354	-0.0642903133361514	-0.0380382888550528	-0.0439985160134033	-0.055863854648272	-0.0391149334915404
1	9573164	9573662	0.03175244696136	0.00132202291927579	0.068572688435585	0.0861449040548384	0.0845834147645802	0.0882095418850523
1	9591963	9592463	-0.0749899862132887	-0.150185891620129	0.065029512554418	0.0248247681241323	0.0814305403932437	0.0356636073881906
1	9593829	9593959	-0.649448362258103	0.0992187490240764	0.00220996278338947	0.508531078041995	0.354157061972911	0.471669293197917
