17	13654752	13655272
10	128821396	128822090
6	52045696	52045826
13	63567590	63568354
4	149484964	149485479
3	90472342	90472472
16	18108363	18108493
9	83005738	83005868
3	149281527	149281670
2	146414792	146414921
4	116342054	116342561
4	53439957	53440559
17	35134844	35135734
2	167631789	167632404
10	83600228	83600349
9	27754692	27754822
1	39530207	39530716
10	19559927	19560057
3	100916706	100917206
3	84229051	84229181
12	102885871	102886002
16	14350885	14351065
8	83596522	83596656
11	87749403	87749936
16	11908882	11909738
15	73472717	73473217
10	111108701	111109202
9	45847056	45847560
16	65577387	65577529
7	111156641	111156784
1	121314758	121315242
10	79116498	79117003
16	32179479	32179989
4	149543098	149543611
1	171551226	171551811
11	106134511	106135440
17	35434790	35435293
7	80132465	80132984
11	11536223	11536723
11	73018652	73019162
14	30641686	30642186
15	36499748	36500248
14	73451489	73451619
6	148257753	148258253
12	112559221	112559466
14	51092230	51092349
2	29870044	29870620
19	18663800	18664300
17	83695899	83696047
18	40232447	40232577
18	34856346	34856507
17	27000000	27000500
4	57091242	57091753
19	29826792	29826942
10	126978289	126978796
5	64156090	64156598
1	6466963	6467463
10	58362815	58362964
19	37514658	37515404
12	25190278	25190839
7	101356766	101357291
7	97579363	97580047
11	61116362	61116492
2	167368233	167368784
11	69900782	69901307
1	95223374	95223878
19	10173985	10174485
15	79074922	79075446
10	95565450	95565998
10	42897761	42897902
9	45848399	45848569
5	148573135	148573265
19	15965054	15965554
11	95833946	95834641
19	46619864	46620466
7	80123239	80123400
17	21422525	21423623
5	113114094	113114761
10	19518712	19519215
19	6487409	6487589
1	171618939	171619439
5	113175443	113175598
2	84889925	84890425
16	43363983	43364534
17	46036254	46036412
X	101163879	101164009
18	35748760	35748888
2	166786572	166787087
14	73507781	73507981
14	61056651	61056799
5	66524100	66524600
4	120824951	120826099
17	73439164	73439664
17	35389739	35390239
2	18693792	18694292
16	97851594	97852105
7	98334220	98334350
10	59702255	59702831
19	37523698	37524196
10	8833750	8834252
16	23991072	23991572
13	107856891	107857391
6	82824343	82824473
7	55968172	55968770
10	59667407	59667537
5	64218186	64218666
7	111182421	111182553
8	126686013	126686169
8	67494541	67495066
12	108893907	108894500
11	107403144	107403644
14	63545705	63545838
4	15957648	15958770
5	76525967	76526093
5	98167505	98168017
9	40397246	40397412
